epoche	train err	probe err	elapsed time
0	1.693196	1.612788	0.27462
1	1.522336	1.578837	0.268231
2	1.467613	1.568334	0.28098
3	1.438504	1.564489	0.266526
4	1.418952	1.56235	0.278546
5	1.403147	1.56011	0.264967
6	1.388719	1.55719	0.282914
7	1.374887	1.553579	0.268665
8	1.361569	1.549452	0.266289
9	1.348784	1.544939	0.268509
10	1.336378	1.540044	0.271939
11	1.324055	1.534688	0.268832
12	1.311495	1.528768	0.268104
13	1.29844	1.522191	0.269571
14	1.284708	1.514892	0.267996
15	1.270202	1.506838	0.269692
16	1.254902	1.498045	0.262322
17	1.238869	1.488573	0.276568
18	1.222237	1.478529	0.265577
19	1.205197	1.468058	0.269987
20	1.187977	1.457328	0.26483
21	1.170809	1.446509	0.276931
22	1.153902	1.43576	0.262665
23	1.137429	1.425213	0.26324
24	1.121509	1.41497	0.26444
25	1.106221	1.405101	0.279762
26	1.091603	1.395649	0.265208
27	1.077672	1.386635	0.264541
28	1.064424	1.378069	0.276269
29	1.051847	1.369948	0.263162
30	1.039921	1.362265	0.263638
31	1.028624	1.355009	0.262311
32	1.017929	1.348165	0.273737
33	1.007809	1.341718	0.266654
34	0.998235	1.335651	0.263234
35	0.989177	1.329945	0.26476
36	0.980606	1.324585	0.272962
37	0.972493	1.31955	0.268946
38	0.96481	1.314824	0.260235
39	0.95753	1.310388	0.262012
40	0.950625	1.306224	0.275993
41	0.944071	1.302315	0.263471
42	0.937843	1.298646	0.264979
43	0.931919	1.295198	0.286362
44	0.926278	1.291958	0.262449
45	0.9209	1.28891	0.263902
46	0.915766	1.286041	0.260865
47	0.910859	1.283338	0.278995
48	0.906163	1.280787	0.263794
49	0.901665	1.278379	0.260537
50	0.89735	1.276102	0.2614
51	0.893207	1.273946	0.284898
52	0.889224	1.271902	0.26459
53	0.885392	1.269962	0.262248
54	0.881701	1.268118	0.261634
55	0.878143	1.266363	0.271715
56	0.874711	1.26469	0.263643
57	0.871397	1.263093	0.260163
58	0.868195	1.261566	0.275365
59	0.865098	1.260105	0.279704
60	0.862103	1.258705	0.274515
61	0.859203	1.257361	0.278367
62	0.856394	1.25607	0.288528
63	0.853671	1.254829	0.264634
64	0.851031	1.253633	0.263892
65	0.848469	1.25248	0.261159
66	0.845983	1.251367	0.274172
67	0.843569	1.250293	0.262038
68	0.841224	1.249253	0.260529
69	0.838944	1.248247	0.276385
70	0.836727	1.247273	0.263255
71	0.834571	1.246328	0.262981
72	0.832473	1.245412	0.261726
73	0.83043	1.244522	0.278161
74	0.828441	1.243657	0.265602
75	0.826503	1.242817	0.262913
76	0.824615	1.241999	0.261912
77	0.822773	1.241203	0.27371
78	0.820978	1.240427	0.2644
79	0.819226	1.239672	0.268925
80	0.817516	1.238935	0.2655
81	0.815847	1.238217	0.278894
82	0.814217	1.237516	0.263733
83	0.812624	1.236832	0.267098
84	0.811068	1.236163	0.28772
85	0.809547	1.235511	0.29483
86	0.808059	1.234873	0.267079
87	0.806604	1.234249	0.267443
88	0.80518	1.233639	0.275345
89	0.803787	1.233043	0.264056
90	0.802423	1.232459	0.270957
91	0.801087	1.231888	0.262531
92	0.799778	1.231329	0.292823
93	0.798496	1.230781	0.267269
94	0.79724	1.230245	0.262556
95	0.796008	1.22972	0.276812
96	0.7948	1.229206	0.261062
97	0.793615	1.228702	0.267288
98	0.792452	1.228207	0.263278
99	0.791311	1.227723	0.283724
100	0.790191	1.227248	0.263017
101	0.789091	1.226783	0.263002
102	0.788012	1.226326	0.261892
103	0.786951	1.225878	0.276909
104	0.785908	1.225439	0.263748
105	0.784884	1.225008	0.262277
106	0.783877	1.224585	0.261994
107	0.782887	1.22417	0.276921
108	0.781914	1.223763	0.260973
109	0.780957	1.223364	0.259639
110	0.780015	1.222971	0.276722
111	0.779088	1.222586	0.265338
112	0.778176	1.222208	0.265663
113	0.777278	1.221837	0.261935
114	0.776394	1.221473	0.275565
115	0.775523	1.221115	0.265321
116	0.774666	1.220764	0.261078
117	0.773821	1.220419	0.261974
118	0.772989	1.22008	0.281201
119	0.772169	1.219747	0.263136
120	0.771361	1.21942	0.263738
121	0.770564	1.219099	0.262381
122	0.769779	1.218783	0.275427
123	0.769004	1.218473	0.264616
124	0.76824	1.218168	0.259753
125	0.767487	1.217869	0.2757
126	0.766744	1.217575	0.265473
127	0.766011	1.217286	0.263436
128	0.765287	1.217002	0.262179
129	0.764573	1.216723	0.275342
130	0.763868	1.216449	0.263112
131	0.763172	1.216179	0.261181
132	0.762485	1.215914	0.260606
133	0.761807	1.215654	0.277034
134	0.761137	1.215398	0.260313
135	0.760475	1.215146	0.260426
136	0.759822	1.214899	0.261854
137	0.759176	1.214656	0.281693
138	0.758538	1.214417	0.265173
139	0.757908	1.214181	0.259667
140	0.757285	1.21395	0.271437
141	0.756669	1.213723	0.264056
142	0.75606	1.2135	0.261898
143	0.755458	1.21328	0.261986
144	0.754863	1.213064	0.272584
145	0.754275	1.212851	0.262056
146	0.753693	1.212642	0.262278
147	0.753118	1.212436	0.261698
148	0.752549	1.212234	0.275298
149	0.751986	1.212035	0.261979
150	0.751429	1.21184	0.266854
151	0.750878	1.211647	0.261306
152	0.750333	1.211458	0.272809
153	0.749794	1.211271	0.264572
154	0.74926	1.211088	0.262709
155	0.748732	1.210908	0.279788
156	0.748209	1.21073	0.264776
157	0.747692	1.210556	0.263994
158	0.747179	1.210384	0.261907
159	0.746672	1.210215	0.280298
160	0.74617	1.210048	0.266527
161	0.745672	1.209885	0.265279
162	0.74518	1.209724	0.265098
163	0.744692	1.209565	0.276015
164	0.744209	1.209409	0.263058
165	0.743731	1.209255	0.262101
166	0.743257	1.209104	0.268307
167	0.742788	1.208955	0.273449
168	0.742323	1.208809	0.26238
169	0.741862	1.208664	0.272264
170	0.741406	1.208522	0.277599
171	0.740954	1.208382	0.262907
172	0.740505	1.208245	0.263003
173	0.740061	1.208109	0.27061
174	0.739621	1.207975	0.274109
175	0.739185	1.207844	0.265974
176	0.738753	1.207715	0.2641
177	0.738324	1.207587	0.262015
178	0.7379	1.207461	0.286363
179	0.737479	1.207338	0.267247
180	0.737061	1.207216	0.262565
181	0.736647	1.207096	0.283712
182	0.736237	1.206978	0.259643
183	0.73583	1.206861	0.262195
184	0.735427	1.206747	0.26011
185	0.735027	1.206634	0.276985
186	0.73463	1.206523	0.265886
187	0.734236	1.206413	0.262537
188	0.733846	1.206305	0.262015
189	0.733459	1.206199	0.277796
190	0.733075	1.206094	0.26446
191	0.732695	1.20599	0.262486
192	0.732317	1.205889	0.26428
193	0.731942	1.205788	0.277661
194	0.731571	1.205689	0.265511
195	0.731202	1.205592	0.262677
196	0.730836	1.205496	0.27352
197	0.730473	1.205401	0.261626
198	0.730113	1.205308	0.266368
199	0.729755	1.205216	0.306004
200	0.729401	1.205126	0.281098
201	0.729049	1.205036	0.264383
202	0.7287	1.204948	0.263718
203	0.728353	1.204862	0.264093
204	0.728009	1.204776	0.278466
205	0.727668	1.204692	0.26444
206	0.727329	1.204609	0.263568
207	0.726993	1.204527	0.276729
208	0.726659	1.204446	0.264944
209	0.726328	1.204366	0.260916
210	0.725999	1.204288	0.260699
211	0.725672	1.20421	0.273933
212	0.725348	1.204134	0.263694
213	0.725026	1.204058	0.272742
214	0.724707	1.203984	0.261856
215	0.724389	1.203911	0.277087
216	0.724074	1.203839	0.269425
217	0.723762	1.203767	0.263524
218	0.723451	1.203697	0.263169
219	0.723143	1.203628	0.279293
220	0.722837	1.20356	0.263976
221	0.722533	1.203492	0.263116
222	0.722231	1.203426	0.27652
223	0.721931	1.20336	0.263306
224	0.721633	1.203295	0.26589
225	0.721337	1.203232	0.264076
226	0.721044	1.203169	0.282095
227	0.720752	1.203106	0.264509
228	0.720462	1.203045	0.26332
229	0.720174	1.202985	0.26492
230	0.719888	1.202925	0.283956
231	0.719605	1.202866	0.26761
232	0.719322	1.202808	0.264188
233	0.719042	1.202751	0.264472
234	0.718764	1.202694	0.279892
235	0.718487	1.202639	0.264456
236	0.718213	1.202583	0.262532
237	0.71794	1.202529	0.278404
238	0.717669	1.202476	0.265691
239	0.717399	1.202423	0.275371
240	0.717131	1.20237	0.265811
241	0.716866	1.202319	0.277829
242	0.716601	1.202268	0.264799
243	0.716339	1.202218	0.264137
244	0.716078	1.202168	0.268743
245	0.715819	1.202119	0.275634
246	0.715561	1.202071	0.266524
247	0.715305	1.202023	0.260462
248	0.715051	1.201976	0.280453
249	0.714798	1.20193	0.261416
250	0.714546	1.201884	0.266746
251	0.714297	1.201839	0.260012
252	0.714049	1.201794	0.272068
253	0.713802	1.20175	0.262802
254	0.713557	1.201707	0.263441
255	0.713313	1.201664	0.262225
256	0.713071	1.201621	0.284248
257	0.71283	1.201579	0.263196
258	0.712591	1.201538	0.260412
259	0.712353	1.201497	0.260999
260	0.712117	1.201457	0.270067
261	0.711882	1.201417	0.26439
262	0.711648	1.201377	0.26377
263	0.711416	1.201339	0.279745
264	0.711185	1.2013	0.26387
265	0.710956	1.201262	0.268458
266	0.710728	1.201225	0.262174
267	0.710501	1.201188	0.28153
268	0.710276	1.201151	0.264343
269	0.710051	1.201115	0.264162
270	0.709829	1.20108	0.263623
271	0.709607	1.201044	0.271817
272	0.709387	1.20101	0.268765
273	0.709168	1.200975	0.261531
274	0.70895	1.200941	0.26233
275	0.708733	1.200908	0.278814
276	0.708518	1.200875	0.268143
277	0.708304	1.200842	0.263652
278	0.708091	1.20081	0.279437
279	0.70788	1.200778	0.263489
280	0.707669	1.200746	0.264431
281	0.70746	1.200715	0.264115
282	0.707252	1.200684	0.276728
283	0.707045	1.200654	0.265467
284	0.706839	1.200624	0.264655
285	0.706634	1.200594	0.263866
286	0.70643	1.200565	0.279948
287	0.706228	1.200536	0.266187
288	0.706027	1.200507	0.263412
289	0.705826	1.200479	0.264105
290	0.705627	1.200451	0.269889
291	0.705429	1.200423	0.26406
292	0.705232	1.200396	0.260397
293	0.705036	1.200369	0.285001
294	0.704841	1.200342	0.265336
295	0.704647	1.200316	0.271448
296	0.704454	1.20029	0.263494
297	0.704262	1.200264	0.274415
298	0.704072	1.200238	0.269227
299	0.703882	1.200213	0.262679
300	0.703693	1.200188	0.263984
301	0.703505	1.200163	0.280925
302	0.703318	1.200139	0.264445
303	0.703133	1.200115	0.263372
304	0.702948	1.200091	0.274178
305	0.702764	1.200068	0.26973
306	0.702581	1.200044	0.26129
307	0.702399	1.200021	0.261684
308	0.702218	1.199999	0.27217
309	0.702038	1.199976	0.262861
310	0.701858	1.199954	0.268913
311	0.70168	1.199932	0.265134
312	0.701503	1.19991	0.292107
313	0.701326	1.199889	0.269639
314	0.70115	1.199867	0.266073
315	0.700976	1.199846	0.264556
316	0.700802	1.199826	0.294419
317	0.700629	1.199805	0.267927
318	0.700457	1.199785	0.263065
319	0.700286	1.199765	0.270372
320	0.700115	1.199745	0.262546
321	0.699946	1.199725	0.264103
322	0.699777	1.199705	0.262257
323	0.699609	1.199686	0.281898
324	0.699442	1.199667	0.264946
325	0.699276	1.199648	0.265174
326	0.69911	1.19963	0.261745
327	0.698946	1.199611	0.270536
328	0.698782	1.199593	0.263038
329	0.698619	1.199575	0.261469
330	0.698457	1.199557	0.267215
331	0.698295	1.199539	0.271117
332	0.698135	1.199522	0.266138
333	0.697975	1.199505	0.263203
334	0.697816	1.199487	0.277227
335	0.697657	1.19947	0.265318
336	0.6975	1.199454	0.262945
337	0.697343	1.199437	0.261373
338	0.697187	1.199421	0.276684
339	0.697031	1.199404	0.26293
340	0.696877	1.199388	0.261773
341	0.696723	1.199372	0.264405
342	0.69657	1.199357	0.275309
343	0.696417	1.199341	0.263749
344	0.696265	1.199326	0.266612
345	0.696114	1.19931	0.26848
346	0.695964	1.199295	0.265951
347	0.695814	1.19928	0.272499
348	0.695665	1.199266	0.264032
349	0.695517	1.199251	0.274265
350	0.69537	1.199236	0.263771
351	0.695223	1.199222	0.263278
352	0.695076	1.199208	0.263267
353	0.694931	1.199194	0.274197
354	0.694786	1.19918	0.263998
355	0.694642	1.199166	0.262311
356	0.694498	1.199152	0.263161
357	0.694355	1.199139	0.274889
358	0.694213	1.199125	0.265035
359	0.694071	1.199112	0.262301
360	0.69393	1.199099	0.275428
361	0.69379	1.199086	0.26661
362	0.69365	1.199073	0.267232
363	0.693511	1.19906	0.263767
364	0.693372	1.199048	0.273928
365	0.693234	1.199035	0.261102
366	0.693097	1.199023	0.265382
367	0.69296	1.199011	0.261569
368	0.692824	1.198998	0.274457
369	0.692689	1.198986	0.267185
370	0.692554	1.198974	0.269998
371	0.692419	1.198963	0.285272
372	0.692286	1.198951	0.273569
373	0.692152	1.198939	0.26904
374	0.69202	1.198928	0.266755
375	0.691888	1.198916	0.279062
376	0.691756	1.198905	0.265251
377	0.691626	1.198894	0.268118
378	0.691495	1.198883	0.263573
379	0.691365	1.198872	0.275952
380	0.691236	1.198861	0.264811
381	0.691108	1.19885	0.264784
382	0.69098	1.19884	0.263707
383	0.690852	1.198829	0.275746
384	0.690725	1.198819	0.263437
385	0.690598	1.198808	0.278879
386	0.690473	1.198798	0.275249
387	0.690347	1.198788	0.266999
388	0.690222	1.198778	0.266509
389	0.690098	1.198768	0.262213
390	0.689974	1.198758	0.275256
391	0.689851	1.198748	0.265887
392	0.689728	1.198738	0.260738
393	0.689605	1.198728	0.261125
394	0.689484	1.198719	0.276339
395	0.689362	1.198709	0.26105
396	0.689242	1.1987	0.260409
397	0.689121	1.198691	0.261967
398	0.689001	1.198681	0.271544
399	0.688882	1.198672	0.262092
400	0.688763	1.198663	0.259884
401	0.688645	1.198654	0.266538
402	0.688527	1.198645	0.268008
403	0.68841	1.198636	0.266328
404	0.688293	1.198627	0.263433
405	0.688176	1.198619	0.272592
406	0.68806	1.19861	0.264844
407	0.687945	1.198601	0.261663
408	0.68783	1.198593	0.263436
409	0.687715	1.198584	0.273427
410	0.687601	1.198576	0.264273
411	0.687487	1.198568	0.263702
412	0.687374	1.19856	0.261616
413	0.687261	1.198551	0.274363
414	0.687149	1.198543	0.262831
415	0.687037	1.198535	0.261596
416	0.686926	1.198527	0.263184
417	0.686815	1.198519	0.278111
418	0.686704	1.198511	0.265645
419	0.686594	1.198504	0.261717
420	0.686484	1.198496	0.277565
421	0.686375	1.198488	0.260716
422	0.686266	1.198481	0.261182
423	0.686157	1.198473	0.266272
424	0.686049	1.198466	0.270356
425	0.685942	1.198458	0.270367
426	0.685835	1.198451	0.288806
427	0.685728	1.198443	0.265011
428	0.685622	1.198436	0.277442
429	0.685516	1.198429	0.262923
430	0.68541	1.198422	0.264045
431	0.685305	1.198415	0.282444
432	0.6852	1.198408	0.261089
433	0.685096	1.1984	0.265972
434	0.684992	1.198394	0.266706
435	0.684888	1.198387	0.274165
436	0.684785	1.19838	0.2647
437	0.684682	1.198373	0.264151
438	0.68458	1.198366	0.261831
439	0.684478	1.198359	0.278912
440	0.684376	1.198353	0.264254
441	0.684275	1.198346	0.263392
442	0.684174	1.19834	0.262548
443	0.684074	1.198333	0.272958
444	0.683973	1.198327	0.267766
445	0.683874	1.19832	0.260332
446	0.683774	1.198314	0.27506
447	0.683675	1.198307	0.261661
448	0.683577	1.198301	0.260687
449	0.683478	1.198295	0.260184
450	0.68338	1.198288	0.268379
451	0.683283	1.198282	0.267145
452	0.683186	1.198276	0.263055
453	0.683089	1.19827	0.26186
454	0.682992	1.198264	0.279374
455	0.682896	1.198258	0.263181
456	0.6828	1.198252	0.263538
457	0.682705	1.198246	0.261907
458	0.68261	1.19824	0.281716
459	0.682515	1.198234	0.266282
460	0.682421	1.198228	0.264463
461	0.682326	1.198222	0.27292
462	0.682233	1.198217	0.265054
463	0.682139	1.198211	0.272677
464	0.682046	1.198205	0.26127
465	0.681953	1.198199	0.272221
466	0.681861	1.198194	0.265408
467	0.681769	1.198188	0.263854
468	0.681677	1.198183	0.261967
469	0.681586	1.198177	0.276862
470	0.681495	1.198172	0.264023
471	0.681404	1.198166	0.264189
472	0.681313	1.198161	0.264381
473	0.681223	1.198155	0.279652
474	0.681133	1.19815	0.269369
475	0.681044	1.198144	0.261772
476	0.680955	1.198139	0.278648
477	0.680866	1.198134	0.263814
478	0.680777	1.198129	0.262508
479	0.680689	1.198123	0.262136
480	0.680601	1.198118	0.274422
481	0.680513	1.198113	0.265899
482	0.680426	1.198108	0.26315
483	0.680339	1.198103	0.262541
484	0.680252	1.198097	0.285815
485	0.680165	1.198092	0.26399
486	0.680079	1.198087	0.263667
487	0.679993	1.198082	0.26564
488	0.679908	1.198077	0.272764
489	0.679823	1.198072	0.264539
490	0.679738	1.198067	0.267221
491	0.679653	1.198062	0.275464
492	0.679568	1.198058	0.26162
493	0.679484	1.198053	0.26175
494	0.6794	1.198048	0.263191
495	0.679317	1.198043	0.275473
496	0.679234	1.198038	0.264226
497	0.679151	1.198033	0.267712
498	0.679068	1.198029	0.261077
499	0.678985	1.198024	0.274452
500	0.678903	1.198019	0.264616
501	0.678821	1.198014	0.266086
502	0.67874	1.19801	0.270087
503	0.678658	1.198005	0.265822
504	0.678577	1.198	0.263666
505	0.678496	1.197996	0.263745
506	0.678416	1.197991	0.271851
507	0.678336	1.197986	0.266062
508	0.678256	1.197982	0.26134
509	0.678176	1.197977	0.262393
510	0.678096	1.197973	0.275026
511	0.678017	1.197968	0.262484
512	0.677938	1.197964	0.26389
513	0.677859	1.197959	0.263077
514	0.677781	1.197955	0.27061
515	0.677703	1.19795	0.261937
516	0.677625	1.197946	0.259767
517	0.677547	1.197942	0.259437
518	0.67747	1.197937	0.273904
519	0.677392	1.197933	0.264063
520	0.677316	1.197928	0.264652
521	0.677239	1.197924	0.273294
522	0.677162	1.19792	0.262488
523	0.677086	1.197915	0.267949
524	0.67701	1.197911	0.260941
525	0.676935	1.197907	0.271805
526	0.676859	1.197903	0.270697
527	0.676784	1.197898	0.259703
528	0.676709	1.197894	0.260262
529	0.676634	1.19789	0.276248
530	0.67656	1.197886	0.267836
531	0.676485	1.197881	0.262883
532	0.676411	1.197877	0.261936
533	0.676338	1.197873	0.273264
534	0.676264	1.197869	0.259995
535	0.676191	1.197865	0.259655
536	0.676118	1.197861	0.268811
537	0.676045	1.197856	0.266353
538	0.675972	1.197852	0.265107
539	0.6759	1.197848	0.267603
540	0.675828	1.197844	0.301861
541	0.675756	1.19784	0.270405
542	0.675684	1.197836	0.264154
543	0.675612	1.197832	0.26476
544	0.675541	1.197828	0.279107
545	0.67547	1.197824	0.263334
546	0.675399	1.19782	0.261178
547	0.675329	1.197816	0.275615
548	0.675258	1.197812	0.26395
549	0.675188	1.197808	0.261294
550	0.675118	1.197804	0.261746
