epoche	train err	probe err	elapsed time
0	1.702320	1.567667	0.286016
1	1.525878	1.533681	0.297653
2	1.471522	1.520135	0.270971
3	1.442875	1.512770	0.276664
4	1.423511	1.506968	0.307761
5	1.407781	1.501012	0.280317
6	1.393506	1.494546	0.271672
7	1.380014	1.487871	0.271685
8	1.367204	1.481365	0.308929
9	1.354987	1.475163	0.274743
10	1.343114	1.469160	0.273185
11	1.331238	1.463143	0.331370
12	1.319029	1.456904	0.309646
13	1.306226	1.450269	0.282877
14	1.292642	1.443108	0.298985
15	1.278165	1.435334	0.266611
16	1.262752	1.426906	0.261126
17	1.246430	1.417838	0.265876
18	1.229301	1.408197	0.298460
19	1.211537	1.398106	0.272106
20	1.193363	1.387728	0.274899
21	1.175037	1.377252	0.266194
22	1.156823	1.366872	0.282822
23	1.138962	1.356765	0.270028
24	1.121655	1.347081	0.271270
25	1.105052	1.337929	0.288503
26	1.089250	1.329382	0.265218
27	1.074303	1.321476	0.265667
28	1.060225	1.314218	0.282869
29	1.047005	1.307592	0.291449
30	1.034613	1.301567	0.267995
31	1.023005	1.296101	0.278544
32	1.012133	1.291148	0.292493
33	1.001944	1.286659	0.281689
34	0.992387	1.282586	0.282024
35	0.983412	1.278885	0.263629
36	0.974970	1.275514	0.284011
37	0.967018	1.272436	0.272938
38	0.959515	1.269620	0.273430
39	0.952424	1.267036	0.265494
40	0.945712	1.264660	0.279066
41	0.939349	1.262470	0.271005
42	0.933307	1.260449	0.265906
43	0.927562	1.258579	0.275255
44	0.922090	1.256846	0.265987
45	0.916874	1.255239	0.273289
46	0.911893	1.253746	0.265793
47	0.907132	1.252357	0.283008
48	0.902576	1.251063	0.263900
49	0.898211	1.249857	0.260349
50	0.894025	1.248731	0.260434
51	0.890007	1.247678	0.277880
52	0.886147	1.246692	0.271846
53	0.882435	1.245768	0.261149
54	0.878863	1.244900	0.261708
55	0.875422	1.244084	0.273453
56	0.872106	1.243315	0.271616
57	0.868907	1.242588	0.262709
58	0.865820	1.241901	0.287301
59	0.862837	1.241249	0.264966
60	0.859955	1.240630	0.264488
61	0.857167	1.240040	0.277847
62	0.854470	1.239477	0.285451
63	0.851858	1.238939	0.271023
64	0.849327	1.238422	0.280052
65	0.846874	1.237925	0.273268
66	0.844495	1.237447	0.285155
67	0.842186	1.236984	0.274813
68	0.839945	1.236537	0.272589
69	0.837767	1.236103	0.285983
70	0.835651	1.235682	0.265453
71	0.833593	1.235272	0.264223
72	0.831591	1.234872	0.264538
73	0.829643	1.234482	0.282046
74	0.827746	1.234100	0.269985
75	0.825898	1.233726	0.279132
76	0.824097	1.233360	0.283651
77	0.822342	1.233001	0.275141
78	0.820629	1.232648	0.267347
79	0.818959	1.232302	0.266929
80	0.817328	1.231961	0.291189
81	0.815735	1.231626	0.266115
82	0.814180	1.231296	0.267603
