epoche	train err	probe err	elapsed time
0	1.705892	1.575913	0.323370
1	1.538713	1.522927	0.269464
2	1.487281	1.501909	0.265753
3	1.459940	1.490760	0.295717
4	1.441430	1.483039	0.318013
5	1.426486	1.476307	0.266155
6	1.413009	1.469714	0.269254
7	1.400245	1.463135	0.291300
8	1.387995	1.456678	0.276668
9	1.376153	1.450413	0.267548
10	1.364535	1.444285	0.283738
11	1.352873	1.438147	0.267777
12	1.340885	1.431818	0.267627
13	1.328320	1.425122	0.266812
14	1.314976	1.417910	0.279560
15	1.300712	1.410075	0.270284
16	1.285458	1.401566	0.266631
17	1.269218	1.392393	0.265398
18	1.252077	1.382628	0.291119
19	1.234202	1.372405	0.264371
20	1.215824	1.361898	0.264789
21	1.197215	1.351306	0.277362
22	1.178653	1.340821	0.264678
23	1.160393	1.330612	0.270127
24	1.142645	1.320806	0.261249
25	1.125562	1.311491	0.286579
26	1.109248	1.302718	0.266450
27	1.093762	1.294508	0.264521
28	1.079130	1.286861	0.264575
29	1.065357	1.279763	0.278917
30	1.052428	1.273192	0.273243
31	1.040314	1.267119	0.269581
32	1.028978	1.261509	0.281388
33	1.018376	1.256327	0.269101
34	1.008460	1.251537	0.267486
35	0.999180	1.247103	0.262168
36	0.990486	1.242988	0.277681
37	0.982330	1.239161	0.263327
38	0.974665	1.235591	0.262823
39	0.967450	1.232251	0.265854
40	0.960647	1.229116	0.283903
41	0.954219	1.226165	0.266759
42	0.948136	1.223380	0.264148
43	0.942369	1.220744	0.265928
44	0.936894	1.218243	0.275816
45	0.931687	1.215865	0.267393
46	0.926728	1.213601	0.269874
47	0.922000	1.211441	0.281115
48	0.917484	1.209378	0.266942
49	0.913167	1.207404	0.264994
50	0.909036	1.205514	0.263054
51	0.905076	1.203703	0.279552
52	0.901278	1.201967	0.267862
53	0.897632	1.200301	0.261659
54	0.894126	1.198701	0.262880
55	0.890754	1.197165	0.276150
56	0.887507	1.195688	0.266698
57	0.884377	1.194269	0.263830
58	0.881358	1.192904	0.283046
59	0.878444	1.191591	0.272116
60	0.875629	1.190328	0.267559
61	0.872908	1.189112	0.265392
62	0.870275	1.187942	0.281715
63	0.867726	1.186814	0.276255
64	0.865257	1.185728	0.281560
65	0.862863	1.184681	0.279654
66	0.860542	1.183671	0.283544
67	0.858290	1.182698	0.268673
68	0.856103	1.181758	0.268235
69	0.853979	1.180851	0.287379
70	0.851914	1.179975	0.281743
71	0.849907	1.179129	0.282915
72	0.847954	1.178312	0.285883
73	0.846053	1.177521	0.291764
74	0.844202	1.176756	0.263751
75	0.842400	1.176016	0.261793
76	0.840643	1.175299	0.281210
77	0.838931	1.174605	0.278370
78	0.837261	1.173932	0.283059
79	0.835632	1.173279	0.285473
80	0.834042	1.172647	0.291542
81	0.832490	1.172032	0.275415
82	0.830974	1.171436	0.265871
83	0.829493	1.170857	0.269051
84	0.828046	1.170294	0.287341
85	0.826631	1.169747	0.266248
86	0.825247	1.169215	0.265585
87	0.823894	1.168697	0.276682
88	0.822569	1.168193	0.267611
89	0.821273	1.167702	0.268415
90	0.820004	1.167223	0.261613
91	0.818760	1.166757	0.279681
92	0.817542	1.166303	0.269264
93	0.816349	1.165860	0.265898
94	0.815179	1.165428	0.266337
95	0.814032	1.165006	0.280586
96	0.812907	1.164594	0.266338
97	0.811803	1.164192	0.262787
98	0.810720	1.163799	0.271986
99	0.809656	1.163416	0.265382
100	0.808612	1.163041	0.264515
101	0.807587	1.162674	0.263321
102	0.806580	1.162316	0.281795
103	0.805591	1.161966	0.266865
104	0.804619	1.161623	0.265914
105	0.803663	1.161287	0.267176
106	0.802723	1.160959	0.290443
107	0.801799	1.160638	0.269849
108	0.800890	1.160324	0.279817
109	0.799996	1.160016	0.268947
110	0.799116	1.159714	0.273691
111	0.798250	1.159419	0.263977
112	0.797397	1.159130	0.263709
113	0.796557	1.158847	0.283937
114	0.795730	1.158569	0.266232
115	0.794916	1.158297	0.267391
116	0.794114	1.158030	0.264723
117	0.793323	1.157769	0.279959
118	0.792544	1.157513	0.268768
119	0.791776	1.157262	0.266019
120	0.791019	1.157016	0.265029
121	0.790272	1.156775	0.280224
122	0.789536	1.156538	0.266399
123	0.788810	1.156306	0.264634
124	0.788093	1.156078	0.277354
125	0.787387	1.155855	0.263594
126	0.786689	1.155636	0.262670
127	0.786001	1.155421	0.263240
128	0.785321	1.155211	0.276740
129	0.784651	1.155004	0.263238
130	0.783988	1.154801	0.262212
131	0.783334	1.154602	0.262917
132	0.782689	1.154407	0.272661
133	0.782051	1.154216	0.265686
134	0.781420	1.154028	0.265984
135	0.780798	1.153843	0.273059
136	0.780183	1.153662	0.276554
137	0.779575	1.153485	0.262837
138	0.778974	1.153310	0.263258
139	0.778380	1.153139	0.280672
140	0.777793	1.152971	0.268447
141	0.777213	1.152806	0.266456
142	0.776639	1.152645	0.265031
143	0.776072	1.152486	0.277776
144	0.775511	1.152330	0.270111
145	0.774956	1.152177	0.266005
146	0.774407	1.152026	0.264944
147	0.773864	1.151879	0.275080
148	0.773327	1.151734	0.267459
149	0.772795	1.151592	0.266338
150	0.772269	1.151452	0.285211
151	0.771749	1.151315	0.267028
152	0.771234	1.151180	0.267909
153	0.770724	1.151048	0.264209
154	0.770219	1.150918	0.276534
155	0.769720	1.150791	0.265960
156	0.769225	1.150666	0.264785
157	0.768735	1.150543	0.264073
158	0.768251	1.150422	0.275962
159	0.767770	1.150304	0.265584
160	0.767295	1.150187	0.263673
161	0.766824	1.150073	0.262443
162	0.766358	1.149961	0.284621
163	0.765896	1.149850	0.266564
164	0.765438	1.149742	0.262331
165	0.764985	1.149636	0.275731
166	0.764536	1.149531	0.269229
167	0.764091	1.149428	0.265071
168	0.763650	1.149328	0.266702
169	0.763213	1.149229	0.278142
170	0.762780	1.149131	0.265499
171	0.762350	1.149036	0.266083
172	0.761925	1.148942	0.267209
173	0.761504	1.148850	0.280907
174	0.761086	1.148759	0.267145
175	0.760671	1.148670	0.265990
176	0.760261	1.148583	0.274648
177	0.759854	1.148497	0.271130
178	0.759450	1.148413	0.271273
179	0.759050	1.148330	0.263862
180	0.758653	1.148249	0.276594
181	0.758259	1.148169	0.267082
182	0.757869	1.148090	0.266324
183	0.757482	1.148013	0.264966
184	0.757098	1.147937	0.281815
185	0.756718	1.147863	0.269401
186	0.756340	1.147790	0.267687
187	0.755966	1.147718	0.277099
188	0.755594	1.147647	0.265429
189	0.755226	1.147578	0.266793
190	0.754860	1.147510	0.262853
191	0.754497	1.147443	0.283427
192	0.754138	1.147377	0.275217
193	0.753781	1.147313	0.265450
194	0.753426	1.147250	0.265222
195	0.753075	1.147187	0.278476
196	0.752726	1.147126	0.266820
197	0.752380	1.147066	0.265421
198	0.752037	1.147007	0.264455
199	0.751696	1.146949	0.273549
200	0.751357	1.146892	0.269697
201	0.751022	1.146836	0.265663
202	0.750688	1.146782	0.281324
203	0.750358	1.146728	0.267000
204	0.750029	1.146675	0.264797
205	0.749703	1.146623	0.264570
206	0.749380	1.146572	0.277876
207	0.749059	1.146522	0.268809
208	0.748740	1.146472	0.264427
209	0.748423	1.146424	0.265124
210	0.748109	1.146377	0.278436
211	0.747797	1.146330	0.263088
212	0.747487	1.146284	0.262039
213	0.747179	1.146239	0.270377
214	0.746874	1.146195	0.265665
215	0.746570	1.146152	0.264654
216	0.746269	1.146110	0.263151
217	0.745970	1.146068	0.281761
218	0.745673	1.146027	0.262275
219	0.745378	1.145987	0.262734
220	0.745085	1.145948	0.266100
221	0.744794	1.145909	0.297927
222	0.744505	1.145871	0.277502
223	0.744218	1.145834	0.267850
224	0.743933	1.145797	0.266922
225	0.743650	1.145762	0.280461
226	0.743369	1.145726	0.266294
227	0.743089	1.145692	0.262910
228	0.742812	1.145658	0.276379
229	0.742536	1.145625	0.265283
230	0.742262	1.145593	0.270107
231	0.741990	1.145561	0.269280
232	0.741719	1.145530	0.280235
233	0.741451	1.145499	0.269236
234	0.741184	1.145469	0.264383
235	0.740919	1.145440	0.264228
236	0.740655	1.145411	0.276059
237	0.740394	1.145383	0.262552
238	0.740134	1.145356	0.262277
239	0.739875	1.145329	0.281749
240	0.739618	1.145302	0.267392
241	0.739363	1.145276	0.266359
242	0.739110	1.145251	0.265057
243	0.738858	1.145226	0.272060
244	0.738607	1.145202	0.269392
245	0.738358	1.145178	0.263898
246	0.738111	1.145155	0.262749
247	0.737865	1.145132	0.287092
248	0.737621	1.145110	0.266395
249	0.737378	1.145088	0.265306
250	0.737137	1.145067	0.264067
251	0.736897	1.145046	0.275177
252	0.736659	1.145026	0.262167
253	0.736422	1.145006	0.262210
254	0.736186	1.144987	0.277777
255	0.735952	1.144968	0.268626
256	0.735720	1.144950	0.264235
257	0.735488	1.144932	0.264052
258	0.735258	1.144914	0.279917
259	0.735030	1.144897	0.264737
260	0.734803	1.144880	0.264042
261	0.734577	1.144864	0.263448
262	0.734352	1.144848	0.280920
263	0.734129	1.144833	0.264274
264	0.733907	1.144818	0.263715
265	0.733686	1.144803	0.275091
