epoche	train err	probe err	elapsed time
0	1.692382	1.613033	0.372315
1	1.521039	1.560171	0.387780
2	1.464476	1.534432	0.364573
3	1.430025	1.516137	0.385712
4	1.402255	1.499560	0.364175
5	1.377090	1.484587	0.274182
6	1.354314	1.472393	0.285889
7	1.333795	1.462617	0.308253
8	1.314420	1.453925	0.271308
9	1.294989	1.445244	0.271920
10	1.274748	1.435975	0.279437
11	1.253289	1.425800	0.295121
12	1.230389	1.414556	0.273622
13	1.205960	1.402185	0.269200
14	1.180051	1.388741	0.277398
15	1.152869	1.374389	0.275951
16	1.124781	1.359405	0.268231
17	1.096272	1.344146	0.277778
18	1.067867	1.328996	0.264925
19	1.040041	1.314311	0.276594
20	1.013159	1.300372	0.267553
21	0.987455	1.287362	0.278693
22	0.963047	1.275377	0.290549
23	0.939975	1.264436	0.298026
24	0.918231	1.254513	0.316135
25	0.897782	1.245549	0.327898
26	0.878580	1.237474	0.283136
27	0.860568	1.230212	0.280650
28	0.843686	1.223689	0.284593
29	0.827872	1.217834	0.275147
30	0.813064	1.212586	0.284330
31	0.799202	1.207886	0.288711
32	0.786229	1.203685	0.266964
33	0.774091	1.199936	0.279315
34	0.762734	1.196598	0.284848
35	0.752110	1.193634	0.299450
36	0.742172	1.191009	0.289376
37	0.732875	1.188694	0.280110
38	0.724176	1.186659	0.290070
39	0.716034	1.184878	0.289365
40	0.708413	1.183327	0.279984
41	0.701275	1.181983	0.274382
42	0.694587	1.180826	0.295081
43	0.688317	1.179838	0.285798
44	0.682435	1.179000	0.280272
45	0.676915	1.178299	0.310930
46	0.671731	1.177718	0.309989
47	0.666859	1.177246	0.322370
48	0.662278	1.176871	0.295307
49	0.657968	1.176582	0.297701
50	0.653911	1.176370	0.277960
51	0.650089	1.176226	0.269589
52	0.646488	1.176143	0.298471
53	0.643093	1.176113	0.282939
54	0.639891	1.176130	0.278201
55	0.636870	1.176189	0.276167
56	0.634017	1.176284	0.294492
57	0.631323	1.176412	0.277567
58	0.628779	1.176567	0.282137
59	0.626374	1.176747	0.322705
