epoche	train err	probe err	elapsed time
187	0.564861	1.208448	0.268403
188	0.564834	1.208425	0.284210
189	0.564808	1.208401	0.270093
190	0.564783	1.208376	0.267790
191	0.564758	1.208351	0.279797
192	0.564734	1.208326	0.268870
193	0.564710	1.208300	0.268006
194	0.564687	1.208273	0.267642
195	0.564664	1.208246	0.287296
196	0.564642	1.208219	0.273870
197	0.564620	1.208191	0.268639
198	0.564598	1.208163	0.267406
199	0.564577	1.208134	0.279732
200	0.564556	1.208105	0.268341
201	0.564536	1.208076	0.268834
202	0.564516	1.208046	0.290561
203	0.564496	1.208016	0.268250
204	0.564477	1.207986	0.267850
205	0.564458	1.207955	0.267530
206	0.564440	1.207924	0.287288
207	0.564421	1.207892	0.270092
208	0.564403	1.207860	0.268818
209	0.564386	1.207828	0.268473
210	0.564368	1.207796	0.285676
211	0.564351	1.207763	0.273623
212	0.564335	1.207731	0.270727
213	0.564318	1.207697	0.282115
214	0.564302	1.207664	0.269579
215	0.564286	1.207630	0.268202
216	0.564271	1.207596	0.278737
217	0.564255	1.207562	0.287223
218	0.564240	1.207528	0.269292
219	0.564225	1.207493	0.271117
220	0.564210	1.207458	0.282374
221	0.564196	1.207423	0.267574
222	0.564182	1.207388	0.270738
223	0.564168	1.207353	0.271521
224	0.564154	1.207317	0.278757
225	0.564140	1.207281	0.273082
226	0.564127	1.207245	0.270481
227	0.564114	1.207209	0.270054
228	0.564101	1.207173	0.283880
229	0.564088	1.207137	0.269695
230	0.564075	1.207100	0.270464
231	0.564063	1.207063	0.280862
232	0.564051	1.207026	0.268404
233	0.564038	1.206989	0.271867
234	0.564026	1.206952	0.270459
235	0.564015	1.206915	0.284413
236	0.564003	1.206877	0.271485
237	0.563992	1.206839	0.269538
238	0.563980	1.206802	0.267586
239	0.563969	1.206764	0.285319
240	0.563958	1.206726	0.268474
241	0.563947	1.206688	0.268070
242	0.563936	1.206650	0.280151
243	0.563926	1.206611	0.267701
244	0.563915	1.206573	0.268419
245	0.563905	1.206535	0.267433
246	0.563895	1.206496	0.280869
247	0.563884	1.206457	0.268841
248	0.563874	1.206419	0.267668
249	0.563865	1.206380	0.267720
250	0.563855	1.206341	0.284082
251	0.563845	1.206302	0.269148
252	0.563836	1.206263	0.267706
253	0.563826	1.206224	0.281416
254	0.563817	1.206185	0.268563
255	0.563807	1.206146	0.270613
256	0.563798	1.206106	0.269328
257	0.563789	1.206067	0.282940
258	0.563780	1.206028	0.271853
259	0.563772	1.205988	0.267098
260	0.563763	1.205949	0.267932
261	0.563754	1.205909	0.288506
262	0.563746	1.205870	0.268183
263	0.563737	1.205830	0.267428
264	0.563729	1.205790	0.281605
265	0.563720	1.205751	0.268377
266	0.563712	1.205711	0.268260
267	0.563704	1.205671	0.269199
268	0.563696	1.205631	0.280346
269	0.563688	1.205591	0.269165
270	0.563680	1.205551	0.268435
271	0.563672	1.205512	0.267457
272	0.563664	1.205472	0.294376
273	0.563657	1.205432	0.272797
274	0.563649	1.205392	0.285312
275	0.563641	1.205352	0.304696
276	0.563634	1.205312	0.274960
277	0.563627	1.205272	0.270662
278	0.563619	1.205232	0.270312
279	0.563612	1.205192	0.289028
280	0.563605	1.205151	0.271400
281	0.563598	1.205111	0.267916
282	0.563590	1.205071	0.275475
283	0.563583	1.205031	0.276732
284	0.563576	1.204991	0.267498
285	0.563569	1.204951	0.267424
286	0.563563	1.204911	0.284953
287	0.563556	1.204871	0.272870
288	0.563549	1.204830	0.269233
289	0.563542	1.204790	0.270526
290	0.563536	1.204750	0.278926
291	0.563529	1.204710	0.268175
292	0.563523	1.204670	0.267825
293	0.563516	1.204630	0.275171
294	0.563510	1.204590	0.283653
295	0.563503	1.204550	0.270325
296	0.563497	1.204509	0.269542
297	0.563491	1.204469	0.287349
298	0.563484	1.204429	0.270898
299	0.563478	1.204389	0.267596
300	0.563472	1.204349	0.272737
301	0.563466	1.204309	0.284414
302	0.563460	1.204269	0.268872
303	0.563454	1.204229	0.269077
304	0.563448	1.204189	0.282921
305	0.563442	1.204149	0.274526
306	0.563436	1.204109	0.269460
307	0.563430	1.204069	0.267648
308	0.563424	1.204029	0.276901
309	0.563419	1.203989	0.269350
310	0.563413	1.203949	0.267807
311	0.563407	1.203909	0.267810
312	0.563402	1.203869	0.287003
313	0.563396	1.203829	0.267708
314	0.563390	1.203789	0.266878
315	0.563385	1.203750	0.284444
316	0.563379	1.203710	0.270269
317	0.563374	1.203670	0.267618
318	0.563369	1.203630	0.267910
319	0.563363	1.203590	0.280367
320	0.563358	1.203551	0.269552
321	0.563352	1.203511	0.270099
322	0.563347	1.203471	0.270444
323	0.563342	1.203432	0.278824
324	0.563337	1.203392	0.268116
325	0.563331	1.203352	0.267333
326	0.563326	1.203313	0.285540
327	0.563321	1.203273	0.272030
328	0.563316	1.203234	0.267817
329	0.563311	1.203194	0.268506
330	0.563306	1.203155	0.280681
331	0.563301	1.203115	0.274088
332	0.563296	1.203076	0.267908
333	0.563291	1.203036	0.269733
334	0.563286	1.202997	0.278031
335	0.563281	1.202958	0.269028
336	0.563276	1.202918	0.268023
337	0.563272	1.202879	0.290823
338	0.563267	1.202840	0.267068
339	0.563262	1.202801	0.270506
340	0.563257	1.202762	0.269204
341	0.563252	1.202722	0.283958
342	0.563248	1.202683	0.270771
343	0.563243	1.202644	0.267484
344	0.563238	1.202605	0.267385
345	0.563234	1.202566	0.286020
346	0.563229	1.202527	0.270161
347	0.563225	1.202488	0.270851
348	0.563220	1.202449	0.294282
349	0.563216	1.202410	0.270534
350	0.563211	1.202372	0.269144
351	0.563207	1.202333	0.268181
352	0.563202	1.202294	0.280342
353	0.563198	1.202255	0.269086
354	0.563193	1.202217	0.267510
355	0.563189	1.202178	0.269397
356	0.563185	1.202139	0.284512
357	0.563180	1.202101	0.270606
358	0.563176	1.202062	0.267889
359	0.563172	1.202024	0.286777
360	0.563167	1.201985	0.268581
361	0.563163	1.201947	0.270214
362	0.563159	1.201908	0.271150
363	0.563155	1.201870	0.284962
364	0.563151	1.201831	0.269881
365	0.563146	1.201793	0.268348
366	0.563142	1.201755	0.269668
367	0.563138	1.201717	0.284226
368	0.563134	1.201678	0.270027
369	0.563130	1.201640	0.269720
370	0.563126	1.201602	0.295542
371	0.563122	1.201564	0.269394
372	0.563118	1.201526	0.270625
373	0.563114	1.201488	0.268059
374	0.563110	1.201450	0.278054
375	0.563106	1.201412	0.270666
376	0.563102	1.201374	0.271937
377	0.563098	1.201336	0.270088
378	0.563094	1.201298	0.285603
379	0.563090	1.201261	0.267771
380	0.563086	1.201223	0.266868
381	0.563082	1.201185	0.283805
382	0.563079	1.201148	0.267690
383	0.563075	1.201110	0.267687
384	0.563071	1.201072	0.269947
385	0.563067	1.201035	0.290129
386	0.563063	1.200997	0.296445
387	0.563060	1.200960	0.267109
388	0.563056	1.200922	0.281334
389	0.563052	1.200885	0.269102
390	0.563049	1.200848	0.271759
391	0.563045	1.200810	0.268254
392	0.563041	1.200773	0.283797
